2;Indice derecho
1;Pulgar derecho
3;Medio derecho
4;Anular derecho
5;Meñique derecho
6;Pulgar izquierdo
7;Indice izquierdo
8;Medio izquierdo
9;Anular izquierdo
10;Meñique izquierdo
